"Product_ID","Product_Name","Product_Type","Category"
"POL200000","WellBeing Cover","Health","Group"
"POL200001","MediAssist","Health","Group"
"POL200002","FamilyLife Plus","Life","Group"
"POL200003","LifeShield","Life","Group"
"POL200004","SecureLegacy","Life","Group"
"POL200005","DriveSure","Auto","Group"
"POL200006","TradeSecure","Property","Business"
"POL200007","AssetShield","Property","Business"
"POL200008","OfficeProtect","Property","Business"
"POL200009","MotorShield","Auto","Business"
"POL200010","TruePromise","Life","Individual"
"POL200011","HealthBridge","Health","Individual"
"POL200012","PrimeHealth","Health","Individual"
"POL200013","EverGuard Life","Life","Individual"
"POL200014","QuickCover Auto","Auto","Individual"
"POL200015","VitalCare Family","Health","Family"
"POL200016","TruePromise Family","Life","Family"
"POL200017","LifeShield Family","Life","Family"
"POL200018","SuperGold Life Family","Life","Family"